Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20190401;1;15000;15162,738
20190401;2;14500;14675,575
20190401;3;14250;14593,075
20190401;4;14400;14671,838
20190401;5;15000;15037,125
20190401;6;16700;16135,800
20190401;7;19700;18633,688
20190401;8;21300;20908,313
20190401;9;22050;21880,388
20190401;10;22150;22064,850
20190401;11;22250;21754,088
20190401;12;22350;21920,800
20190401;13;22550;21860,463
20190401;14;22600;21675,663
20190401;15;22100;21315,163
20190401;16;21800;21151,688
20190401;17;21500;20830,475
20190401;18;21350;20743,988
20190401;19;21700;20786,525
20190401;20;23200;22042,850
20190401;21;22800;22650,563
20190401;22;21550;21226,613
20190401;23;19800;19628,038
20190401;24;18400;18332,338
20190402;1;17350;17391,663
20190402;2;16650;16733,813
20190402;3;16450;16460,163
20190402;4;16550;16551,163
20190402;5;16950;16874,350
20190402;6;17800;17588,300
20190402;7;20600;19495,288
20190402;8;22000;21437,438
20190402;9;22700;21975,075
20190402;10;22800;21852,025
20190402;11;22800;21604,725
20190402;12;22800;21677,113
20190402;13;22800;21704,825
20190402;14;22800;21549,988
20190402;15;22300;21246,738
20190402;16;21900;21043,788
20190402;17;21600;20835,413
20190402;18;21500;20556,200
20190402;19;21800;20580,488
20190402;20;23200;21836,850
20190402;21;23100;22463,175
20190402;22;21600;21069,800
20190402;23;19900;19594,538
20190402;24;18600;18347,050
20190403;1;17400;17226,338
20190403;2;16800;16691,888
20190403;3;16600;16305,075
20190403;4;16600;16405,900
20190403;5;17200;16647,988
20190403;6;18000;17422,513
20190403;7;20700;19380,775
20190403;8;21900;21354,388
20190403;9;22500;22172,863
20190403;10;22500;22226,538
20190403;11;22200;21710,275
20190403;12;22200;21860,050
20190403;13;22300;21693,750
20190403;14;22300;21563,500
20190403;15;21900;21251,425
20190403;16;21600;21153,225
20190403;17;21300;20923,363
20190403;18;21000;20666,250
20190403;19;21300;20689,750
20190403;20;23100;21938,975
20190403;21;22800;22469,863
20190403;22;21500;21139,413
20190403;23;20000;19379,263
20190403;24;18500;18150,063
20190404;1;17400;17135,613
20190404;2;16800;16660,363
20190404;3;16500;16265,850
20190404;4;16600;16352,600
20190404;5;17200;16575,350
20190404;6;18000;17282,875
20190404;7;20700;19233,738
20190404;8;21900;21273,950
20190404;9;22300;21911,000
20190404;10;22200;22052,625
20190404;11;22200;21606,213
20190404;12;22200;21730,125
20190404;13;22200;21654,938
20190404;14;22300;21492,175
20190404;15;21800;21293,213
20190404;16;21500;21173,513
20190404;17;21300;20826,938
20190404;18;21000;20666,363
20190404;19;21300;20607,538
20190404;20;23100;21773,525
20190404;21;22800;22370,275
20190404;22;21300;20941,475
20190404;23;20100;19238,488
20190404;24;18600;18014,350
20190405;1;17300;17100,863
20190405;2;16700;16419,263
20190405;3;16500;16173,538
20190405;4;16500;16078,938
20190405;5;17000;16351,125
20190405;6;17800;16928,888
20190405;7;20700;18961,600
20190405;8;21900;20977,300
20190405;9;22300;21747,525
20190405;10;22200;21774,138
20190405;11;22100;21509,250
20190405;12;22100;21650,288
20190405;13;22200;21609,688
20190405;14;22300;21443,100
20190405;15;21800;21170,800
20190405;16;21500;21087,088
20190405;17;21300;20726,113
20190405;18;21000;20457,713
20190405;19;21300;20314,538
20190405;20;22900;21394,113
20190405;21;22700;21917,025
20190405;22;21300;20592,488
20190405;23;19800;18867,175
20190405;24;18500;17672,175
20190406;1;17100;16606,775
20190406;2;16550;15955,350
20190406;3;16050;15536,800
20190406;4;15900;15458,825
20190406;5;16000;15593,513
20190406;6;16000;15595,263
20190406;7;17350;16074,975
20190406;8;18850;17498,750
20190406;9;19650;18779,763
20190406;10;19950;19490,713
20190406;11;19900;19467,988
20190406;12;19650;19386,063
20190406;13;19300;19162,988
20190406;14;19000;18890,250
20190406;15;18250;18286,338
20190406;16;17950;17981,788
20190406;17;17800;17857,525
20190406;18;18000;17662,413
20190406;19;18400;17878,888
20190406;20;19900;18725,663
20190406;21;19800;19254,488
20190406;22;18700;18222,075
20190406;23;17550;17036,550
20190406;24;16250;15766,563
20190407;1;15300;14713,913
20190407;2;14600;14141,200
20190407;3;14300;13806,613
20190407;4;14000;13768,350
20190407;5;14200;13747,725
20190407;6;14100;13678,925
20190407;7;14300;13678,125
20190407;8;15200;14469,375
20190407;9;16000;15404,588
20190407;10;16600;16074,600
20190407;11;16700;16458,313
20190407;12;16800;16476,363
20190407;13;16700;16341,313
20190407;14;16500;16275,213
20190407;15;16300;15914,713
20190407;16;15900;15472,425
20190407;17;15700;15319,338
20190407;18;16000;15457,963
20190407;19;16500;15830,463
20190407;20;18400;17011,013
20190407;21;18700;17960,288
