Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20200501;1;14800;14442,200
20200501;2;14000;13799,513
20200501;3;13500;13239,888
20200501;4;13400;13122,038
20200501;5;13300;12928,588
20200501;6;12500;12201,175
20200501;7;12900;12289,313
20200501;8;13900;13079,625
20200501;9;14900;14023,925
20200501;10;15500;14866,125
20200501;11;16000;15402,375
20200501;12;16200;15737,475
20200501;13;16100;15756,063
20200501;14;16100;15888,625
20200501;15;15700;15499,950
20200501;16;15200;15023,325
20200501;17;14900;14709,950
20200501;18;14900;14578,250
20200501;19;15200;14684,925
20200501;20;15900;15054,550
20200501;21;16550;15731,575
20200501;22;16300;15638,075
20200501;23;15300;14920,213
20200501;24;14200;13877,475
20200502;1;12600;12953,250
20200502;2;12000;12438,575
20200502;3;11800;12177,200
20200502;4;11700;12067,450
20200502;5;11550;12034,963
20200502;6;11500;11725,900
20200502;7;12600;12363,013
20200502;8;13700;13346,863
20200502;9;14600;14281,850
20200502;10;15300;14871,838
20200502;11;16300;15243,213
20200502;12;16500;15485,400
20200502;13;16500;15534,600
20200502;14;16600;15449,275
20200502;15;16200;15208,250
20200502;16;15600;14896,200
20200502;17;15300;14642,900
20200502;18;15200;14558,925
20200502;19;15300;14785,350
20200502;20;16100;15065,038
20200502;21;16900;15721,725
20200502;22;16600;15655,475
20200502;23;15500;14770,800
20200502;24;14100;13678,925
20200503;1;12900;12756,150
20200503;2;12300;12133,838
20200503;3;11900;11777,638
20200503;4;11700;11649,838
20200503;5;11700;11591,288
20200503;6;11200;11159,975
20200503;7;11700;11337,775
20200503;8;12500;12030,400
20200503;9;13400;12952,488
20200503;10;14100;13882,150
20200503;11;14700;14594,838
20200503;12;14900;14864,125
20200503;13;14900;14885,425
20200503;14;15000;14816,963
20200503;15;14800;14402,213
20200503;16;14600;14018,775
20200503;17;14500;13612,163
20200503;18;14700;13620,463
20200503;19;15200;13824,250
20200503;20;15900;14373,713
20200503;21;16600;15151,038
20200503;22;16200;15303,988
20200503;23;15500;14555,575
20200503;24;14600;13544,925
20200504;1;12871;12738,788
20200504;2;12264;12252,725
20200504;3;12087;12083,975
20200504;4;12170;12065,888
20200504;5;12405;12280,425
20200504;6;13039;12670,488
20200504;7;16239;15318,463
20200504;8;18247;17578,763
20200504;9;19420;18847,075
20200504;10;20023;19347,050
20200504;11;20186;19344,388
20200504;12;20298;19594,513
20200504;13;20361;19681,388
20200504;14;20207;19598,225
20200504;15;19681;19090,363
20200504;16;19483;18898,638
20200504;17;19160;18524,463
20200504;18;18831;18222,663
20200504;19;18887;18217,238
20200504;20;19488;18525,900
20200504;21;20215;19192,838
20200504;22;19686;18689,588
20200504;23;18123;17380,600
20200504;24;16932;16062,475
20200505;1;15631;15012,788
20200505;2;15055;14457,713
20200505;3;14723;14110,425
20200505;4;14758;14104,350
20200505;5;14768;14288,763
20200505;6;14816;14300,338
20200505;7;16763;16304,050
20200505;8;18768;18401,338
20200505;9;19841;19640,175
20200505;10;20137;20085,500
20200505;11;20160;20221,988
20200505;12;20401;20583,138
20200505;13;20519;20657,900
20200505;14;20337;20487,750
20200505;15;19830;19844,750
20200505;16;19500;19441,500
20200505;17;19026;18977,625
20200505;18;18740;18581,013
20200505;19;18784;18560,175
20200505;20;19287;18919,750
20200505;21;20280;19523,150
20200505;22;19654;18908,775
20200505;23;18139;17498,063
20200505;24;16769;16180,500
20200506;1;15326;15190,050
20200506;2;14639;14705,800
20200506;3;14430;14369,363
20200506;4;14409;14361,888
20200506;5;14475;14476,213
20200506;6;14626;14644,813
20200506;7;16288;16720,175
20200506;8;18324;18665,000
20200506;9;19487;19977,088
20200506;10;19902;20569,413
20200506;11;19969;20745,063
20200506;12;20135;21100,000
20200506;13;20202;20979,700
20200506;14;19867;20618,900
20200506;15;19310;19960,100
20200506;16;19033;19585,700
20200506;17;18635;19142,738
20200506;18;18500;18885,513
20200506;19;18549;18888,350
20200506;20;18973;19133,638
20200506;21;19765;19557,700
20200506;22;19279;19080,388
20200506;23;17866;17923,375
20200506;24;16500;16669,750
20200507;1;14700;15682,463
20200507;2;14300;15160,500
20200507;3;14000;14723,850
20200507;4;14100;14650,250
20200507;5;14200;14611,588
20200507;6;14700;14554,713
20200507;7;17300;16707,375
20200507;8;18800;18583,875
20200507;9;19600;19700,050
20200507;10;19700;20136,950
20200507;11;19800;20148,225
20200507;12;19900;20415,575
20200507;13;20000;20379,013
20200507;14;19900;20284,975
20200507;15;19200;19811,900
20200507;16;18800;19523,950
20200507;17;18500;18989,588
20200507;18;18100;18503,750
20200507;19;18300;18457,538
20200507;20;18800;18834,288
20200507;21;19500;19604,963
20200507;22;18700;19136,913
20200507;23;17400;17901,863
20200507;24;15900;16581,113
20200508;1;15500;15461,500
20200508;2;15000;14999,838
20200508;3;14500;14630,563
20200508;4;14500;14695,613
20200508;5;14500;14687,100
20200508;6;15300;14605,250
20200508;7;17800;16487,700
20200508;8;19400;18328,925
20200508;9;20500;19369,438
20200508;10;20700;19606,388
20200508;11;20900;19457,713
20200508;12;20900;19480,975
20200508;13;21000;19388,788
20200508;14;20800;19264,000
20200508;15;20400;18785,300
20200508;16;20100;18506,013
20200508;17;19800;18186,450
20200508;18;19500;18059,088
20200508;19;19500;18075,775
20200508;20;19600;18278,288
20200508;21;20400;18943,075
20200508;22;19700;18741,963
20200508;23;18200;17389,000
20200508;24;16700;16180,675
20200509;1;14900;15227,313
20200509;2;14200;14566,925
20200509;3;13800;14112,450
20200509;4;13600;14011,663
20200509;5;13500;13708,825
20200509;6;13100;13267,350
20200509;7;14300;13982,513
20200509;8;15500;15179,313
20200509;9;16400;16292,175
20200509;10;17000;16978,725
20200509;11;17300;17275,788
20200509;12;17300;17247,488
20200509;13;17100;16945,900
20200509;14;16950;16712,513
20200509;15;16300;16226,700
20200509;16;15900;15931,025
20200509;17;15700;15579,150
20200509;18;15400;15553,950
20200509;19;15500;15732,188
20200509;20;15900;16008,613
20200509;21;17000;16622,188
20200509;22;16600;16922,975
20200509;23;15600;15898,313
20200509;24;14400;14558,938
20200510;1;13000;13556,288
20200510;2;12500;12891,163
20200510;3;12200;12547,688
20200510;4;12000;12309,800
20200510;5;11800;12146,800
20200510;6;11200;11699,913
20200510;7;12100;12129,638
20200510;8;13200;12835,088
20200510;9;14200;13897,613
20200510;10;14800;14637,325
20200510;11;15300;15159,313
20200510;12;15400;15223,400
20200510;13;15500;15256,000
20200510;14;15400;15109,150
20200510;15;15000;14642,463
20200510;16;14700;14277,600
20200510;17;14500;14093,300
20200510;18;14600;14153,538
20200510;19;15100;14587,888
20200510;20;15600;15152,650
20200510;21;16400;15784,988
20200510;22;16200;15923,625
20200510;23;15200;15173,338
20200510;24;14000;14159,850
20200511;1;13400;13369,863
20200511;2;13000;12927,688
20200511;3;12800;12685,975
20200511;4;12900;12648,450
20200511;5;13000;12803,300
20200511;6;14200;13200,225
20200511;7;17300;15837,625
20200511;8;19100;18068,313
20200511;9;19950;19384,963
20200511;10;20150;20012,663
20200511;11;20300;20017,213
20200511;12;20400;20386,538
20200511;13;20400;20531,063
20200511;14;20300;20392,663
20200511;15;19800;19956,325
20200511;16;19400;19698,375
20200511;17;18900;19403,488
20200511;18;18500;19265,850
20200511;19;18600;19255,538
20200511;20;19000;19428,238
20200511;21;19900;19750,400
20200511;22;19100;19042,688
20200511;23;17600;17809,338
20200511;24;16200;16518,975
20200512;1;15000;15543,238
20200512;2;14450;14988,350
20200512;3;14150;14720,175
20200512;4;14150;14842,775
20200512;5;14300;14653,413
20200512;6;15000;14818,500
20200512;7;17950;17032,650
20200512;8;19450;19057,050
20200512;9;20350;20108,925
20200512;10;20450;20429,600
20200512;11;20650;20653,463
20200512;12;20700;21033,313
20200512;13;20700;20983,563
20200512;14;20800;20651,150
20200512;15;20200;19996,525
20200512;16;19800;19641,013
20200512;17;19300;19317,138
20200512;18;18950;18909,388
20200512;19;19100;18776,200
20200512;20;19300;19119,400
20200512;21;19900;19514,363
20200512;22;19300;19292,725
20200512;23;18100;17986,413
20200512;24;16600;16701,738
20200513;1;15600;15720,238
20200513;2;15000;15171,575
20200513;3;14700;14873,100
20200513;4;14700;14899,850
20200513;5;14800;14828,675
20200513;6;15400;14910,700
20200513;7;18100;17108,075
20200513;8;19500;19046,625
20200513;9;20500;20213,138
20200513;10;20600;20609,425
20200513;11;21000;20468,225
20200513;12;21000;20703,825
20200513;13;21000;20818,088
20200513;14;21000;20549,338
20200513;15;20300;19967,600
20200513;16;19900;19761,238
20200513;17;19400;19441,675
20200513;18;19000;19011,663
20200513;19;19100;18992,488
20200513;20;19400;19352,625
20200513;21;20000;19726,338
20200513;22;19400;19372,863
20200513;23;18200;17887,488
20200513;24;16700;16617,888
