Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20170601;1;16400;16133,525
20170601;2;15700;15521,838
20170601;3;15300;15145,163
20170601;4;15200;15075,063
20170601;5;14800;14615,138
20170601;6;15800;15039,213
20170601;7;19100;17413,438
20170601;8;20500;19469,663
20170601;9;21200;20355,313
20170601;10;21300;20683,363
20170601;11;21400;20616,400
20170601;12;21600;21006,450
20170601;13;21700;21100,175
20170601;14;21700;21039,438
20170601;15;21300;20695,150
20170601;16;21000;20446,650
20170601;17;20700;20114,988
20170601;18;20400;19866,025
20170601;19;20200;19601,825
20170601;20;20400;19700,038
20170601;21;20600;19917,175
20170601;22;20600;19988,488
20170601;23;19100;18865,025
20170601;24;17500;17314,963
20170602;1;16400;16143,600
20170602;2;15700;15503,975
20170602;3;15300;15157,288
20170602;4;15200;14982,775
20170602;5;14800;14634,025
20170602;6;15800;15040,775
20170602;7;19100;17533,238
20170602;8;20600;19510,488
20170602;9;21300;20452,663
20170602;10;21500;20692,750
20170602;11;21500;20721,075
20170602;12;21700;21052,925
20170602;13;21800;21224,763
20170602;14;21800;21106,125
20170602;15;21400;20837,875
20170602;16;21100;20726,075
20170602;17;20800;20395,838
20170602;18;20500;20148,063
20170602;19;20300;19849,975
20170602;20;20500;19887,413
20170602;21;20600;19831,925
20170602;22;20600;19793,113
20170602;23;19100;18764,613
20170602;24;17500;17332,188
20170603;1;16600;16075,838
20170603;2;15800;15303,075
20170603;3;15300;14917,900
20170603;4;15100;14731,950
20170603;5;14500;14107,413
20170603;6;14600;13971,613
20170603;7;16400;15311,425
20170603;8;17800;16706,100
20170603;9;19000;18051,025
20170603;10;19400;18885,788
20170603;11;19400;19055,463
20170603;12;19400;19272,063
20170603;13;19200;19030,588
20170603;14;19000;18857,238
20170603;15;18300;18222,863
20170603;16;17800;17898,500
20170603;17;17500;17651,363
20170603;18;17300;17371,375
20170603;19;17200;17252,275
20170603;20;17400;17281,188
20170603;21;17600;17277,338
20170603;22;17900;17542,225
20170603;23;16900;16777,288
20170603;24;15600;15392,538
20170604;1;14100;14317,000
20170604;2;13400;13647,850
20170604;3;12900;13220,450
20170604;4;12700;13016,650
20170604;5;11900;12338,938
20170604;6;12000;12135,838
20170604;7;13100;12585,500
20170604;8;14300;13461,875
20170604;9;15400;14500,225
20170604;10;16200;15349,075
20170604;11;16450;15876,925
20170604;12;16500;16179,350
20170604;13;16500;16221,613
20170604;14;16400;16163,750
20170604;15;16100;15835,313
20170604;16;15800;15494,413
20170604;17;15600;15330,700
20170604;18;15600;15448,288
20170604;19;15900;15636,063
20170604;20;16300;16030,900
20170604;21;16700;16187,300
20170604;22;17000;16371,288
20170604;23;16300;15767,938
20170604;24;15000;14682,000
20170605;1;14100;13908,538
20170605;2;13600;13521,150
20170605;3;13500;13289,463
20170605;4;13600;13268,550
20170605;5;13400;13032,500
20170605;6;14900;13727,263
20170605;7;18400;16683,575
20170605;8;19900;19043,388
20170605;9;20900;20231,300
20170605;10;21100;20584,900
20170605;11;21200;20663,713
20170605;12;21400;21033,275
20170605;13;21500;21183,525
20170605;14;21600;21085,213
20170605;15;21100;20852,675
20170605;16;20900;20683,513
20170605;17;20400;20506,150
20170605;18;20200;20127,475
20170605;19;20100;19929,575
20170605;20;20200;20059,888
20170605;21;20600;20059,075
20170605;22;20400;20058,800
20170605;23;18900;18858,650
20170605;24;17300;17233,038
20170606;1;16100;15977,888
20170606;2;15500;15335,513
20170606;3;15200;15010,738
20170606;4;15050;14967,225
20170606;5;14650;14552,075
20170606;6;15700;15015,363
20170606;7;19000;17482,175
20170606;8;20300;19633,463
20170606;9;21000;20659,888
20170606;10;21100;21038,425
20170606;11;21350;21016,638
20170606;12;21500;21348,975
20170606;13;21600;21542,525
20170606;14;21500;21649,225
20170606;15;21150;21324,938
20170606;16;20800;20984,475
20170606;17;20550;20776,813
20170606;18;20200;20227,975
20170606;19;20200;20166,175
20170606;20;20300;20393,375
20170606;21;20500;20440,313
20170606;22;20400;20052,500
20170606;23;19000;18784,375
20170606;24;17300;17264,075
