Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20200601;1;13500;13411,025
20200601;2;13000;12963,525
20200601;3;12700;12694,550
20200601;4;12800;12604,538
20200601;5;13000;12552,263
20200601;6;14100;13211,300
20200601;7;17400;15907,775
20200601;8;19000;18189,075
20200601;9;19900;19455,375
20200601;10;20200;20012,838
20200601;11;20300;19897,563
20200601;12;20500;20241,538
20200601;13;20500;20199,563
20200601;14;20600;19863,025
20200601;15;19900;19427,663
20200601;16;19500;19130,338
20200601;17;19200;18898,088
20200601;18;19000;18563,425
20200601;19;19100;18420,250
20200601;20;19500;18886,175
20200601;21;19800;19099,650
20200601;22;19600;19137,075
20200601;23;18200;17999,188
20200601;24;16800;16628,500
20200602;1;15100;15486,150
20200602;2;14600;14756,813
20200602;3;14200;14508,338
20200602;4;14200;14363,713
20200602;5;13800;14167,563
20200602;6;14800;14521,163
20200602;7;17600;16895,238
20200602;8;19200;18905,438
20200602;9;19900;19912,025
20200602;10;20100;20393,363
20200602;11;20200;20413,300
20200602;12;20300;20738,400
20200602;13;20400;20672,088
20200602;14;20300;20331,238
20200602;15;19800;19870,413
20200602;16;19500;19562,788
20200602;17;19000;19276,400
20200602;18;18600;18999,363
20200602;19;18600;18946,363
20200602;20;18900;19334,813
20200602;21;19300;19381,963
20200602;22;19200;19252,463
20200602;23;17900;18107,900
20200602;24;16400;16697,313
20200603;1;14900;15481,763
20200603;2;14400;14948,350
20200603;3;14000;14662,750
20200603;4;14000;14614,650
20200603;5;13600;14328,363
20200603;6;14700;14648,300
20200603;7;17600;17048,488
20200603;8;19100;19044,663
20200603;9;19900;20186,900
20200603;10;20100;20674,100
20200603;11;20300;20730,763
20200603;12;20500;21142,475
20200603;13;20500;21046,650
20200603;14;20500;20670,438
20200603;15;20000;20246,475
20200603;16;19600;19825,638
20200603;17;19100;19394,050
20200603;18;18700;19111,413
20200603;19;18700;18928,200
20200603;20;18900;19213,188
20200603;21;19100;19361,938
20200603;22;19100;19316,350
20200603;23;17900;18157,913
20200603;24;16300;16743,875
20200604;1;15400;15567,125
20200604;2;14900;14869,938
20200604;3;14500;14626,750
20200604;4;14500;14593,975
20200604;5;14100;14288,450
20200604;6;15100;14650,875
20200604;7;18000;16838,600
20200604;8;19500;18875,950
20200604;9;20300;20009,825
20200604;10;20500;20423,863
20200604;11;20700;20388,425
20200604;12;20900;20610,200
20200604;13;20900;20677,625
20200604;14;20900;20488,863
20200604;15;20400;20038,238
20200604;16;20000;19695,125
20200604;17;19500;19568,550
20200604;18;19200;19218,613
20200604;19;19200;19064,663
20200604;20;19400;19444,325
20200604;21;19600;19411,700
20200604;22;19600;19441,600
20200604;23;18400;18357,000
20200604;24;16800;16826,500
20200605;1;15700;15733,875
20200605;2;15050;15083,650
20200605;3;14650;14754,950
20200605;4;14600;14682,600
20200605;5;14300;14368,850
20200605;6;15300;14583,763
20200605;7;17900;16658,263
20200605;8;19400;18635,513
20200605;9;20100;19751,150
20200605;10;20000;20283,163
20200605;11;20300;20553,575
20200605;12;20400;20967,913
20200605;13;20500;20871,088
20200605;14;20300;20747,025
20200605;15;19700;20400,838
20200605;16;19400;20156,125
20200605;17;19000;19854,413
20200605;18;18700;19520,725
20200605;19;18600;19287,050
20200605;20;18800;19374,150
20200605;21;19000;19207,575
20200605;22;19000;18778,500
20200605;23;17800;17704,488
20200605;24;16400;16419,250
20200606;1;15250;15363,050
20200606;2;14600;14745,338
20200606;3;14100;14307,050
20200606;4;14000;14126,875
20200606;5;13350;13565,238
20200606;6;13400;13336,713
20200606;7;14900;14248,113
20200606;8;16000;15572,363
20200606;9;16900;16783,813
20200606;10;17550;17412,300
20200606;11;17750;17712,775
20200606;12;17800;17774,800
20200606;13;17800;17655,675
20200606;14;17650;17440,188
20200606;15;17250;16992,500
20200606;16;16950;16726,075
20200606;17;16650;16265,150
20200606;18;16350;16115,163
20200606;19;16350;16193,250
20200606;20;16650;16253,688
20200606;21;16900;16412,388
20200606;22;17000;16743,288
20200606;23;15950;16055,350
20200606;24;14800;14811,125
20200607;1;13400;13687,263
20200607;2;12700;13083,350
20200607;3;12400;12669,050
20200607;4;12200;12409,850
20200607;5;11700;11976,263
20200607;6;11500;11841,838
20200607;7;12300;12370,588
20200607;8;13300;13189,425
20200607;9;14200;13991,100
20200607;10;14800;14720,263
20200607;11;15300;15155,063
20200607;12;15600;15399,188
20200607;13;15600;15639,388
20200607;14;15500;15516,613
20200607;15;15100;15279,213
20200607;16;14700;14973,500
20200607;17;14300;14762,538
20200607;18;14300;14823,688
20200607;19;14700;15187,250
20200607;20;14800;15647,250
20200607;21;15100;15814,338
20200607;22;15700;15964,413
20200607;23;15200;15399,638
20200607;24;14000;14348,338
20200608;1;13400;13621,588
20200608;2;12900;13318,438
20200608;3;12700;13200,013
20200608;4;12700;13003,225
20200608;5;12400;12751,050
20200608;6;14100;13419,950
20200608;7;17400;16125,250
20200608;8;19350;18392,638
20200608;9;20200;19683,825
20200608;10;20400;20236,000
20200608;11;20650;20395,588
20200608;12;20800;20676,613
20200608;13;20700;20789,138
20200608;14;20600;20790,063
20200608;15;20200;20402,338
20200608;16;19800;20171,238
20200608;17;19500;19704,775
20200608;18;19100;19369,638
20200608;19;19100;19233,700
20200608;20;19300;19558,513
20200608;21;19500;19537,338
20200608;22;19550;19188,413
20200608;23;18250;18090,725
20200608;24;16550;16669,250
20200609;1;15600;15540,338
20200609;2;14900;14931,613
20200609;3;14700;14555,075
20200609;4;14700;14473,138
20200609;5;14300;14232,263
20200609;6;15300;14652,225
20200609;7;18200;16939,050
20200609;8;19800;19099,875
20200609;9;20300;20193,313
20200609;10;20600;20516,300
20200609;11;20700;20656,863
20200609;12;20900;20993,100
20200609;13;21000;21032,525
20200609;14;21000;20901,563
20200609;15;20500;20395,713
20200609;16;20100;20082,575
20200609;17;19800;19623,625
20200609;18;19600;19304,563
20200609;19;19400;19218,950
20200609;20;19600;19457,738
20200609;21;19800;19527,013
20200609;22;19700;19293,238
20200609;23;18500;18189,838
20200609;24;16900;16706,113
