Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20170101;1;15700;15138,688
20170101;2;15000;14498,763
20170101;3;14200;13901,638
20170101;4;13700;13469,750
20170101;5;13400;13205,600
20170101;6;13300;13208,438
20170101;7;13400;13325,575
20170101;8;13200;13200,275
20170101;9;13400;13241,163
20170101;10;14000;13906,188
20170101;11;14600;14595,100
20170101;12;15000;15093,863
20170101;13;15400;15424,100
20170101;14;15700;15783,313
20170101;15;15700;15740,325
20170101;16;16700;15795,588
20170101;17;17900;17165,913
20170101;18;18000;17604,825
20170101;19;18100;17756,125
20170101;20;18100;17852,550
20170101;21;17800;17621,888
20170101;22;17000;16881,238
20170101;23;16200;16005,325
20170101;24;15000;14943,313
20170102;1;14300;14133,200
20170102;2;14000;13756,738
20170102;3;14000;13639,250
20170102;4;14200;13702,538
20170102;5;14900;14015,850
20170102;6;16600;15176,500
20170102;7;19700;18026,000
20170102;8;20700;20375,175
20170102;9;21800;21439,850
20170102;10;22200;22249,500
20170102;11;22500;22506,238
20170102;12;22600;22731,313
20170102;13;22700;23006,738
20170102;14;23000;23264,263
20170102;15;22800;22983,100
20170102;16;23500;23003,875
20170102;17;24400;23779,700
20170102;18;24300;23791,425
20170102;19;24000;23627,338
20170102;20;23900;23376,813
20170102;21;23000;22833,500
20170102;22;21800;21427,588
20170102;23;20300;19844,050
20170102;24;18700;18423,750
20170103;1;17600;17330,613
20170103;2;17000;16699,275
20170103;3;16600;16483,513
20170103;4;16700;16450,350
20170103;5;17200;16761,088
20170103;6;18300;17533,325
20170103;7;21500;20152,700
20170103;8;22500;21992,813
20170103;9;23300;22933,850
20170103;10;23500;23325,488
20170103;11;23600;23503,550
20170103;12;23650;23754,588
20170103;13;23650;23798,375
20170103;14;23950;24001,888
20170103;15;23600;23607,900
20170103;16;24100;23566,625
20170103;17;25000;24395,613
20170103;18;24900;24339,100
20170103;19;24400;24003,400
20170103;20;24200;23811,163
20170103;21;23400;22994,113
20170103;22;22000;21574,475
20170103;23;20200;19968,200
20170103;24;18800;18579,025
20170104;1;17700;17434,988
20170104;2;17100;16783,875
20170104;3;16700;16468,313
20170104;4;16800;16582,013
20170104;5;17300;16942,588
20170104;6;18400;17642,325
20170104;7;21600;20073,713
20170104;8;22600;22110,288
20170104;9;23400;22826,400
20170104;10;23800;23299,275
20170104;11;23900;23324,913
20170104;12;24200;23494,600
20170104;13;24300;23668,750
20170104;14;24600;23777,113
20170104;15;24200;23450,213
20170104;16;24500;23373,250
20170104;17;25000;24414,075
20170104;18;25000;24454,788
20170104;19;24500;24090,100
20170104;20;24300;23963,850
20170104;21;23500;23403,600
20170104;22;22100;21869,463
20170104;23;20600;20265,800
20170104;24;19200;19010,325
20170105;1;17900;17872,763
20170105;2;17500;17262,763
20170105;3;17200;16944,850
20170105;4;17400;16990,950
20170105;5;17800;17250,700
20170105;6;19000;17969,025
20170105;7;22200;20377,013
20170105;8;23100;22314,188
20170105;9;23800;23194,938
20170105;10;24100;23737,625
20170105;11;24400;23750,950
20170105;12;24400;24044,075
20170105;13;24500;24073,713
20170105;14;24800;24162,338
20170105;15;24300;23806,300
20170105;16;24700;23662,325
20170105;17;25500;24927,300
20170105;18;25400;25105,063
20170105;19;24800;24659,988
20170105;20;24600;24482,113
20170105;21;23800;23699,938
20170105;22;22500;22325,925
20170105;23;20900;20912,725
20170105;24;19600;19496,150
20170106;1;18200;18370,250
20170106;2;17400;17603,500
