Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20180701;1;15100;14715,150
20180701;2;14400;13941,425
20180701;3;14000;13484,475
20180701;4;13700;13191,238
20180701;5;13000;12618,850
20180701;6;13000;12457,413
20180701;7;13800;13018,925
20180701;8;14700;13821,075
20180701;9;15700;14678,675
20180701;10;16500;15767,338
20180701;11;16900;16423,588
20180701;12;17000;16759,888
20180701;13;17000;16737,313
20180701;14;16900;16665,925
20180701;15;16600;16282,800
20180701;16;16300;16077,863
20180701;17;16200;15877,963
20180701;18;16200;16017,650
20180701;19;16300;16094,688
20180701;20;16700;16528,663
20180701;21;16900;16455,888
20180701;22;17300;16689,150
20180701;23;17000;16413,838
20180701;24;15800;15334,588
20180702;1;14400;14429,163
20180702;2;13900;13859,263
20180702;3;13800;13614,263
20180702;4;13800;13500,400
20180702;5;13600;13300,625
20180702;6;15100;13929,288
20180702;7;18300;16618,550
20180702;8;19900;18845,238
20180702;9;20900;20086,838
20180702;10;21100;20679,313
20180702;11;21500;20829,675
20180702;12;21600;21156,913
20180702;13;21800;21275,975
20180702;14;21900;21312,025
20180702;15;21500;20817,713
20180702;16;21200;20679,350
20180702;17;20900;20429,238
20180702;18;20600;20139,713
20180702;19;20400;20066,238
20180702;20;20400;20164,500
20180702;21;20400;20164,588
20180702;22;20300;19851,350
20180702;23;19300;18930,625
20180702;24;17900;17593,063
20180703;1;16800;16403,913
20180703;2;16300;15718,713
20180703;3;15900;15372,963
20180703;4;15800;15289,563
20180703;5;15400;14878,250
20180703;6;16400;15350,800
20180703;7;19300;17646,813
20180703;8;20700;19585,125
20180703;9;21500;20642,200
20180703;10;21600;21221,713
20180703;11;22000;21184,150
20180703;12;22200;21525,238
20180703;13;22300;21726,138
20180703;14;22400;21681,338
20180703;15;22100;21349,763
20180703;16;21800;21226,488
20180703;17;21400;20981,113
20180703;18;21100;20603,975
20180703;19;21000;20229,188
20180703;20;21000;20536,563
20180703;21;21000;20523,013
20180703;22;20800;20407,175
20180703;23;19700;19474,263
20180703;24;18300;18161,375
20180704;1;17200;16807,950
20180704;2;16600;16092,025
20180704;3;16200;15780,025
20180704;4;16000;15631,300
20180704;5;15800;15184,325
20180704;6;16700;15523,813
20180704;7;19600;17749,988
20180704;8;21100;19844,188
20180704;9;22000;21059,475
20180704;10;22300;21521,025
20180704;11;22600;21608,738
20180704;12;22900;22000,400
20180704;13;23000;22210,313
20180704;14;23100;22192,600
20180704;15;22700;21876,075
20180704;16;22400;21791,350
20180704;17;22000;21517,338
20180704;18;21600;21195,688
20180704;19;21300;20933,588
20180704;20;21300;21044,488
20180704;21;21300;20725,950
20180704;22;21300;20643,925
20180704;23;20200;19783,550
20180704;24;18600;18193,500
20180705;1;17200;16987,650
20180705;2;16600;16312,088
20180705;3;16000;15888,663
20180705;4;15800;15801,875
