Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20200401;1;16900;16613,113
20200401;2;16400;15960,225
20200401;3;15800;15747,813
20200401;4;15800;15630,850
20200401;5;16000;15743,775
20200401;6;16600;16278,738
20200401;7;19100;17561,225
20200401;8;20400;19208,150
20200401;9;20700;20070,838
20200401;10;20800;20198,363
20200401;11;20900;20079,650
20200401;12;21000;20220,213
20200401;13;20900;20094,025
20200401;14;21000;20012,538
20200401;15;20600;19579,938
20200401;16;20300;19351,075
20200401;17;20200;19045,700
20200401;18;20100;19185,500
20200401;19;20400;19423,325
20200401;20;22100;20464,888
20200401;21;21900;20936,475
20200401;22;20500;19849,625
20200401;23;19100;18626,638
20200401;24;17700;17504,313
20200402;1;16600;16476,750
20200402;2;16100;15892,663
20200402;3;15700;15488,100
20200402;4;15750;15335,425
20200402;5;16100;15568,638
20200402;6;16500;16096,875
20200402;7;18700;17421,500
20200402;8;20150;18990,188
20200402;9;20700;19932,475
20200402;10;20700;20400,575
20200402;11;20750;20340,925
20200402;12;20850;20413,463
20200402;13;21000;20198,100
20200402;14;21050;20052,025
20200402;15;20500;19663,588
20200402;16;20200;19351,775
20200402;17;19950;19109,638
20200402;18;19700;19043,600
20200402;19;20300;19317,813
20200402;20;21850;20352,988
20200402;21;21650;20863,163
20200402;22;20300;19653,650
20200402;23;18800;18503,650
20200402;24;17400;17384,038
20200403;1;16500;16444,475
20200403;2;16000;15834,250
20200403;3;15600;15432,375
20200403;4;15700;15391,800
20200403;5;16000;15560,600
20200403;6;16400;15906,775
20200403;7;18700;17355,200
20200403;8;20200;18872,800
20200403;9;20700;19804,488
20200403;10;20700;19980,163
20200403;11;20700;19869,138
20200403;12;20700;20107,850
20200403;13;20800;20167,813
20200403;14;20900;19928,200
20200403;15;20400;19451,875
20200403;16;20200;19236,375
20200403;17;19900;19080,888
20200403;18;19900;18979,475
20200403;19;20300;19072,488
20200403;20;21900;20059,150
20200403;21;21600;20457,225
20200403;22;20400;19118,750
20200403;23;18900;17984,088
20200403;24;17700;17023,900
20200404;1;15700;16059,950
20200404;2;15000;15409,175
20200404;3;14700;15012,825
20200404;4;14500;14866,013
20200404;5;14400;14883,300
20200404;6;13900;14797,263
20200404;7;15600;14878,088
20200404;8;16200;15590,788
20200404;9;16800;16433,763
20200404;10;17300;17014,300
20200404;11;17300;17248,588
20200404;12;17200;17350,575
20200404;13;17000;17176,338
20200404;14;17000;17077,125
20200404;15;16600;16693,413
20200404;16;16400;16444,713
20200404;17;16600;16377,900
20200404;18;17100;16491,063
20200404;19;17700;16833,275
20200404;20;18900;17880,563
20200404;21;19100;18625,663
20200404;22;18200;17646,938
20200404;23;16900;16713,513
20200404;24;15700;15576,025
20200405;1;14800;14642,963
20200405;2;14200;14003,175
20200405;3;13900;13649,325
20200405;4;13700;13471,125
20200405;5;13700;13444,950
20200405;6;13500;13459,900
20200405;7;13500;13308,313
20200405;8;13900;13703,050
20200405;9;14800;14227,400
20200405;10;15500;14828,488
20200405;11;15700;15099,175
20200405;12;16000;15181,800
20200405;13;16100;15225,800
20200405;14;16200;15030,450
20200405;15;16200;14827,925
20200405;16;15800;14599,675
20200405;17;15800;14624,500
20200405;18;16100;14942,225
20200405;19;16500;15600,538
20200405;20;18100;16619,163
20200405;21;18200;17411,963
20200405;22;17600;16677,563
20200405;23;16700;16073,000
20200405;24;15700;15265,263
20200406;1;15000;14438,013
20200406;2;14600;14011,250
20200406;3;14300;13805,513
20200406;4;14300;13714,675
20200406;5;14800;13983,338
20200406;6;16000;14609,750
