Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20200301;1;15800;15696,788
20200301;2;15200;15122,850
20200301;3;14900;14699,050
20200301;4;14700;14671,550
20200301;5;14700;14606,488
20200301;6;14800;14706,463
20200301;7;15000;14789,913
20200301;8;15700;15234,725
20200301;9;16800;16207,438
20200301;10;17600;16898,538
20200301;11;18000;17042,088
20200301;12;18200;17091,525
20200301;13;18300;17194,063
20200301;14;18400;17289,238
20200301;15;17900;17082,888
20200301;16;17500;16882,763
20200301;17;17900;16929,925
20200301;18;19400;17765,175
20200301;19;19700;19220,025
20200301;20;19800;19201,550
20200301;21;19200;18954,013
20200301;22;18200;18278,100
20200301;23;17500;17398,488
20200301;24;16500;16463,300
20200302;1;15700;15605,963
20200302;2;15300;15221,738
20200302;3;15200;15090,738
20200302;4;15400;15040,613
20200302;5;16100;15412,725
20200302;6;17900;16632,000
20200302;7;21000;19470,263
20200302;8;22500;21700,725
20200302;9;23200;22856,563
20200302;10;23200;23406,075
20200302;11;23000;23260,388
20200302;12;23100;23637,600
20200302;13;23300;23744,288
20200302;14;23500;23748,025
20200302;15;23000;23335,338
20200302;16;22700;22881,213
20200302;17;22600;22671,713
20200302;18;23900;23178,600
20200302;19;24200;23881,600
20200302;20;23900;23928,125
20200302;21;23200;23202,488
20200302;22;21800;21651,888
20200302;23;20100;19998,475
20200302;24;18800;18773,875
20200303;1;17700;17789,263
20200303;2;17200;17315,538
20200303;3;16900;16984,338
20200303;4;17000;17021,513
20200303;5;17500;17274,725
20200303;6;19000;18152,450
20200303;7;21800;20310,775
20200303;8;23100;22258,188
20200303;9;23700;23180,338
20200303;10;23800;23316,875
20200303;11;23700;22960,838
20200303;12;23800;23312,275
20200303;13;23800;23371,888
20200303;14;23900;23468,013
20200303;15;23500;23289,488
20200303;16;23100;23057,200
20200303;17;23100;22961,400
20200303;18;24000;23517,188
20200303;19;24200;23990,788
20200303;20;24100;23859,738
20200303;21;23500;23317,588
20200303;22;21800;21713,888
20200303;23;20400;20198,038
20200303;24;19000;18885,075
20200304;1;17400;17879,125
20200304;2;17000;17333,013
20200304;3;16800;16927,463
20200304;4;16900;17046,013
20200304;5;17300;17423,163
20200304;6;18900;18218,350
20200304;7;21600;20366,688
20200304;8;22800;22452,750
20200304;9;23400;23349,213
20200304;10;23400;23416,350
20200304;11;23200;23079,138
20200304;12;23400;23311,075
20200304;13;23500;23380,538
20200304;14;23600;23356,650
20200304;15;23300;23017,200
20200304;16;22800;22824,950
20200304;17;22600;22710,088
20200304;18;23600;23327,963
20200304;19;24100;24205,350
20200304;20;24000;24282,563
20200304;21;23300;23490,300
20200304;22;21800;21878,538
20200304;23;20400;20201,038
20200304;24;19000;18932,163
20200305;1;17900;17850,625
20200305;2;17500;17267,463
20200305;3;17200;16963,013
20200305;4;17300;17032,913
20200305;5;17800;17281,013
20200305;6;18900;18144,100
20200305;7;21700;20313,238
20200305;8;23000;22286,925
20200305;9;23300;22764,500
20200305;10;23200;22614,038
20200305;11;23000;22210,425
20200305;12;23100;22363,038
20200305;13;23300;22409,325
20200305;14;23300;22509,850
