Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20191101;1;16200;16005,725
20191101;2;15500;15295,150
20191101;3;15100;14990,450
20191101;4;14900;14803,650
20191101;5;15000;14808,450
20191101;6;14800;14776,738
20191101;7;14700;14614,325
20191101;8;15700;15040,088
20191101;9;16200;15720,000
20191101;10;16300;15780,063
20191101;11;16200;15511,175
20191101;12;15800;15061,438
20191101;13;15800;14970,038
20191101;14;15900;15172,913
20191101;15;15600;15158,563
20191101;16;15900;15259,525
20191101;17;17400;16419,963
20191101;18;17700;17353,863
20191101;19;17700;17458,963
20191101;20;17800;17410,400
20191101;21;17400;17135,563
20191101;22;16800;16529,813
20191101;23;16000;15777,200
20191101;24;15000;14908,475
20191102;1;14600;14058,900
20191102;2;14200;13691,863
20191102;3;13900;13600,200
20191102;4;13900;13539,950
20191102;5;14500;13737,963
20191102;6;15100;14273,588
20191102;7;15900;15109,088
20191102;8;17000;16047,100
20191102;9;17900;17256,300
20191102;10;18400;18024,963
20191102;11;18600;18265,738
20191102;12;18800;18426,175
20191102;13;18900;18455,500
20191102;14;18900;18566,075
20191102;15;18400;18384,238
20191102;16;18600;18245,325
20191102;17;20100;19034,000
20191102;18;20200;19560,313
20191102;19;20100;19389,925
20191102;20;19900;19182,538
20191102;21;19200;18513,263
20191102;22;18200;17489,863
20191102;23;17000;16500,163
20191102;24;15900;15523,438
20191103;1;15000;14694,850
20191103;2;14600;14095,313
20191103;3;14300;13755,700
20191103;4;14100;13610,288
20191103;5;14100;13763,025
20191103;6;14200;13983,075
20191103;7;14600;14105,913
20191103;8;15300;14549,488
20191103;9;16200;15449,963
20191103;10;16700;16142,500
20191103;11;16900;16488,500
20191103;12;16900;16584,475
20191103;13;17000;16707,400
20191103;14;17200;16838,188
20191103;15;16800;16545,025
20191103;16;17000;16418,613
20191103;17;18700;17397,638
20191103;18;19000;18204,288
20191103;19;19000;18410,250
20191103;20;19000;18375,338
20191103;21;18600;18017,325
20191103;22;17700;17163,188
20191103;23;16900;16408,988
20191103;24;15800;15472,238
20191104;1;14600;14807,338
20191104;2;14400;14409,850
20191104;3;14300;14234,050
20191104;4;14400;14204,938
20191104;5;15100;14755,063
20191104;6;17000;15991,875
20191104;7;20600;19026,463
20191104;8;22000;21246,038
20191104;9;22800;22443,875
20191104;10;22800;22706,075
20191104;11;22900;22573,175
20191104;12;22900;22948,125
20191104;13;23100;23207,050
20191104;14;23200;23249,338
20191104;15;22700;22935,763
20191104;16;22600;22877,925
20191104;17;23900;23506,838
20191104;18;23900;23832,388
20191104;19;23500;23439,650
20191104;20;23400;23368,700
20191104;21;22700;22636,525
20191104;22;21200;21020,713
20191104;23;19600;19395,725
20191104;24;18200;18128,663
